tip_doc,codunicocli,monto,prob_value_contact,tea,ingreso_neto,mnt_ptm,sldvig_tcrsrcf,ant_ultprdallsf,nro_configuracion_6m,nro_transfer_6m,nro_producto_6m,cre_sldtotfinprm03,ctd_campecsm01,max_campecs06m,ctd_camptotm01,ctd_camptot06m,ctd_camptototrcnl06m,ctd_sms_received,prm_cnt_fee_amt_u7d,telefonos_6meses,prom_score_acepta_12meses,dif_no_gestionado_4meses,dif_contacto_efectivo_10meses,ctd_app_productos_m1,monto_consumos_ecommerce_tc,avg_sald_pas_3m,act_avg6m_max12m,act_1m_avg3m,pas_avg6m_max12m,pas_1m_avg6m,pas_1m_avg3m,prop_atm_4m,cnl_atm_p4m_p12m,cnl_age_p4m_p12m,max_nact_12m,nprod_1m,senthtml_1m,openhtml_1m,avg_openhtml_6m,bpitrx_1m,apppag_1m,cre_lin_tc_rccibk_m07,lin_tcrrstsf03m,max_usotcribksf06m,max_usotcrrstsf03m,prom_pct_saldopprcc6m,prm_lintcribksf03m,prom_sow_lintcribksf3m,prom_uso_tc_rccsf3m,dsv_svppallsf06m,prm_svprmlibdis06m,prm_svprmecs06m,flg_saltotppe12m,num_incrsaldispefe06m,seg_un,beta_pctusotcr12m,rat_disefepnm01,pct_usotcrm01,beta_saltotppe12m,ctd_entrdm01,prm_saltotrdpj03m,copamiento,monto_aceptado,deuda_financiera_total,deuda_ssff_score,uso_tc_alto,uso_tc_muy_alto,navegacion_app_web,engagement_digital,fraccion_deuda_ingreso,urgencia_financiera,contactabilidad,ssff_30d_mora_proxy,ssff_60d_mora_proxy,ssff_90d_mora_proxy,ssff_mora_total_proxy,ssff_mora_ratio,ssff_pressure_index,mora_reciente_flag,mora_antigua_flag,tenencia_productos,tenencia_configuraciones,tenencia_activa_ratio,deuda_por_tenencia,navegacion_app_web_total,navegacion_app_share,navegacion_web_share,engagement_web_ratio,engagement_app_ratio,touchpoint_sms_ratio,html_touchpoint_score,digital_activity_balance,ssff_mora_30d_score_ultimos_6m,ssff_mora_60d_score_ultimos_6m,ssff_mora_90d_score_ultimos_6m,ssff_mora_total_score_ultimos_6m,ssff_mora_ratio_ultimos_6m,ssff_pressure_index_ultimos_6m,mora_reciente_flag_ultimos_30d,mora_antigua_flag_ultimos_60d,num_productos_tenencia_ultimos_6m,num_configuraciones_tenencia_ultimos_6m,ratio_productos_activos_tenencia_ultimos_6m,deuda_por_producto_tenencia_ultimos_6m,interacciones_app_web_ultimos_1m,share_interacciones_app_ultimos_1m,share_interacciones_web_ultimos_1m,ratio_apertura_html_ultimos_1m,ratio_engagement_app_ultimos_1m,sms_touchpoints_ultimos_1m,html_touchpoints_ultimos_1m,balance_actividad_digital_ultimos_1m,target_venta
1,8161588,38000,0.1405524,25.19,3228.0,0,115.73,6.0,1.0,35.0,4.0,0.0,1.0,1.0,7.0,34,11,0,0.5714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595,0.941,0.44,0.966,1.0,0.5,3.0,1.3333334,1.0,1.0,24.0,12.0,2.6,0.0,2.0,0.0,18300.0,0.541,0.16,0.0,4800.0,0.442,0.265,0.0,0.0,0.0,1.0,0.0,2.0,0.016,0.0,0.24,2188.652,3.0,7855.0234,0.921,0.0,115.73,480.0,0,0,36.0,0.0,0.035851922,11.771995,0.1405524,0.0,0.0,4800.0,480.0,4.147585,5650.5576,0,0,0.0,0.0,0.0,115730000000.0,36.0,0.0,0.6666667,4.6153846,0.0,10.0,48.0,1.0,0.0,0.0,4800.0,480.0,4.147585,5650.5576,0,0,0.0,0.0,0.0,115730000000.0,36.0,0.0,0.6666667,4.6153846,0.0,10.0,48.0,1.0,0.0
1,9327116,49400,0.15952267,26.68,7600.0,26600,1283.03,17.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,40,9,0,0.0,2.0,0.0,0.0,0.0,0.0,5550.9087,0.0,0.789,1.106,0.44,0.966,1.0,0.0,1.0,1.0,1.0,1.0,73.0,68.0,58.333332,0.0,0.0,0.0,238484.4,0.147,0.107,0.053,45000.0,0.361,0.099,1434.492,0.0,0.0,1.0,0.0,2.0,0.01,0.0,0.078,-742.877,3.0,7855.0234,0.921,0.0,0.0,4500.0,0,0,141.0,0.0,0.0,6.5,0.15952267,0.0,0.0,45000.0,4500.0,10.0,29250.0,0,0,1.0,0.0,1.0,0.0,141.0,0.0,0.5177305,1.1657143,0.0,0.0,209.0,1.0,0.0,0.0,45000.0,4500.0,10.0,29250.0,0,0,1.0,0.0,1.0,0.0,141.0,0.0,0.5177305,1.1657143,0.0,0.0,209.0,1.0,0.0
1,12061014,15000,0.07353275,25.19,4414.0,0,5299.39,0.0,0.0,14.0,0.0,-0.539,1.0,1.0,5.0,39,6,12,0.0,8.0,0.0,0.0,0.0,0.0,0.0,14.96,0.355,0.637,0.336,0.007,1.0,1.0,1.5,1.0,1.0,2.0,74.0,7.0,15.0,0.0,1.0,0.0,127443.0,0.19,0.934,0.0,21900.0,0.34,0.437,30386.65,0.0,0.0,1.0,0.0,2.0,-0.018,0.0,0.106,-220.739,6.0,7855.0234,0.921,0.0,5298.851,2190.0,0,0,82.0,1.0,1.2004646,3.3982782,0.07353275,0.0,0.0,21900.0,2190.0,0.41329715,7442.2295,0,0,0.0,0.0,0.0,5298851000000.0,82.0,0.0121951215,0.902439,0.46666667,10.0,0.0,88.0,2.0,0.0,0.0,21900.0,2190.0,0.41329715,7442.2295,0,0,0.0,0.0,0.0,5298851000000.0,82.0,0.0121951215,0.902439,0.46666667,10.0,0.0,88.0,2.0,0.0
1,17721726,7600,0.2682374,50.93,2007.0,0,1283.03,0.0,12.0,93.0,22.0,-0.136,1.0,1.0,6.0,35,11,0,0.0,2.0,0.0,0.0,287.0,0.0,90.9,4.063,0.343,0.897,0.209,0.54,2.375,1.0,1.0,1.0,1.0,2.0,63.0,6.0,3.6666667,0.0,8.0,1.0,12895.8,0.378,0.023,0.0,2000.0,0.349,0.078,0.0,0.0,0.0,0.0,1.0,2.0,0.006,0.0,0.104,-220.739,2.0,7855.0234,0.921,0.0,-0.136,200.0,0,0,77.0,8.0,0.0,3.7867465,0.2682374,0.0,0.0,2000.0,200.0,0.0,757.3493,0,0,22.0,12.0,0.23404256,-0.006181818,77.0,0.103896104,0.8181818,1.6363636,10.0,0.0,75.0,2.0,0.0,0.0,2000.0,200.0,0.0,757.3493,0,0,22.0,12.0,0.23404256,-0.006181818,77.0,0.103896104,0.8181818,1.6363636,10.0,0.0,75.0,2.0,0.0
1,8950635,28600,0.12731919,50.93,4828.0,33300,269.0,10.0,1.0,35.0,4.0,0.047,1.0,1.0,5.0,25,9,0,0.4286,3.0,0.0,0.0,0.0,0.0,759.3981,90.371,0.937,0.973,0.201,0.206,1.007,1.0,1.5,1.0,1.0,2.0,57.0,0.0,1.0,0.0,2.0,-0.037,3000.0,0.83,0.269,0.0,13052.43,0.929,0.722,0.0,0.0,9102.453,0.0,0.0,2.0,-0.001,0.0,0.71,-220.739,2.0,7855.0234,0.921,0.0,269.047,10407.696,1,0,57.0,0.0,0.055726387,5.923778,0.12731919,9102.453,0.0,13052.43,10407.696,10.0,61652.88,1,0,0.0,0.0,0.0,269047000000.0,57.0,0.0,1.0,0.0,0.0,10.0,57.0,2.0,9102.453,0.0,13052.43,10407.696,10.0,61652.88,1,0,0.0,0.0,0.0,269047000000.0,57.0,0.0,1.0,0.0,0.0,10.0,57.0,2.0,0.0
1,14892064,27400,0.58007693,19.42,3906.0,0,1283.03,8.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,20,6,6,0.0,6.0,0.0,23.0,23.0,0.0,0.0,0.0,0.184,0.0,0.44,0.966,1.0,1.0,1.0,0.0,1.0,1.0,62.0,0.0,1.3333334,0.0,2.0,0.339,6300.0,0.362,0.086,0.0,19100.0,0.901,0.009,0.0,0.0,0.0,0.0,0.0,4.0,-0.043,0.0,0.001,-220.739,3.0,53982.4,0.921,0.0,0.0,1910.0,0,0,62.0,0.0,0.0,7.014849,0.58007693,0.0,0.0,19100.0,1910.0,10.0,13398.361,0,0,1.0,3.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,62.0,1.0,0.0,0.0,19100.0,1910.0,10.0,13398.361,0,0,1.0,3.0,1.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,62.0,1.0,0.0
1,11277803,84600,0.23465334,15.25,6374.0,0,1476.51,50.0,1.0,35.0,4.0,0.0,1.0,1.0,4.0,23,7,0,0.0,3.0,0.0,0.0,153.0,0.0,0.0,358.87952,0.48,0.976,0.44,0.966,1.0,1.0,1.0,1.0,1.0,2.0,56.0,1.0,2.1666667,0.0,2.0,0.0,222900.0,0.0,0.04,0.0,60000.0,0.447,0.014,0.0,0.0,0.0,0.0,0.0,2.0,-0.003,0.0,0.014,-220.739,3.0,7855.0234,0.921,0.0,1476.51,6000.0,0,0,0.0,0.0,0.23164575,13.27267,0.23465334,0.0,0.0,60000.0,6000.0,4.063637,79636.02,0,0,0.0,0.0,0.0,1476510000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,6000.0,4.063637,79636.02,0,0,0.0,0.0,0.0,1476510000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9463636,14400,0.34974363,34.33,2464.0,15200,7735.05,10.0,1.0,35.0,4.0,0.0,1.0,1.0,5.0,31,10,0,0.0,1.0,12.5,119.0,285.0,0.0,0.0,0.0,0.423,0.114,0.44,0.966,1.0,0.0,1.0,1.0,1.0,1.0,51.0,1.0,3.3333333,0.0,2.0,0.412,39600.0,0.169,0.586,0.0,19200.0,0.593,0.207,0.0,0.0,0.0,0.0,0.0,2.0,0.001,0.0,0.223,-220.739,4.0,7855.0234,0.921,0.0,7735.05,1920.0,0,0,52.0,0.0,3.1392248,5.844156,12.849744,0.0,0.0,19200.0,1920.0,0.24822076,11220.779,0,0,0.0,0.0,0.0,7735050000000.0,52.0,0.0,0.9807692,0.3,0.0,0.0,53.0,1.0,0.0,0.0,19200.0,1920.0,0.24822076,11220.779,0,0,0.0,0.0,0.0,7735050000000.0,52.0,0.0,0.9807692,0.3,0.0,0.0,53.0,1.0,0.0
1,9267729,38000,0.62504995,25.19,6858.0,46200,1283.03,0.0,9.0,347.0,7.0,0.25,0.0,1.0,7.0,46,10,2,0.0,1.0,0.0,13.0,13.0,0.0,3207.9253,2247.491,0.174,0.349,0.733,1.089,0.922,1.0,1.0,0.0,1.0,3.0,85.0,45.0,34.0,0.0,4.0,-0.077,0.0,0.077,0.0,0.0,30200.0,1.0,0.012,113496.0,0.0,0.0,1.0,0.0,5.0,-0.021,0.0,0.011,-220.739,2.0,7855.0234,0.921,0.0,0.25,3020.0,0,0,134.0,4.0,3.6453777e-05,5.540974,0.62504995,0.0,0.0,30200.0,3020.0,10.0,16733.742,0,0,7.0,9.0,0.020114943,0.035714287,134.0,0.029850746,0.63432837,1.3235294,10.0,0.0,175.0,3.0,0.0,0.0,30200.0,3020.0,10.0,16733.742,0,0,7.0,9.0,0.020114943,0.035714287,134.0,0.029850746,0.63432837,1.3235294,10.0,0.0,175.0,3.0,0.0
1,13825714,32900,0.12991938,19.42,2977.0,30300,1283.03,0.0,1.0,35.0,4.0,0.0,1.0,1.0,6.0,36,8,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,358.87952,0.48,0.976,0.44,0.966,1.0,1.0,1.0,1.0,1.0,2.0,56.0,1.0,2.1666667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-220.739,1.0,7855.0234,0.921,0.0,0.0,1280.0,0,0,0.0,0.0,0.0,11.051394,0.12991938,0.0,0.0,12800.0,1280.0,10.0,14145.784,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12800.0,1280.0,10.0,14145.784,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15339640,8700,0.18791057,50.93,1724.0,0,1283.03,12.0,0.0,153.0,0.0,0.575,1.0,1.0,5.0,31,7,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6393.378,0.629,1.232,0.695,1.226,1.063,1.0,1.0,0.0,1.0,3.0,77.0,5.0,14.833333,0.0,1.0,0.0,9900.0,0.006,0.0,0.0,5600.0,0.629,0.003,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.004,-220.739,1.0,7855.0234,0.921,0.0,0.575,560.0,0,0,83.0,1.0,0.0003335267,5.046404,0.18791057,0.0,0.0,5600.0,560.0,10.0,2825.986,0,0,0.0,0.0,0.0,575000000.0,83.0,0.012048192,0.92771083,0.33707866,10.0,0.0,87.0,3.0,0.0,0.0,5600.0,560.0,10.0,2825.986,0,0,0.0,0.0,0.0,575000000.0,83.0,0.012048192,0.92771083,0.33707866,10.0,0.0,87.0,3.0,0.0
1,13182585,14400,0.2743016,34.33,4600.0,0,5898.93,11.0,1.0,35.0,4.0,0.0,1.0,1.0,2.0,7,6,0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,358.87952,0.48,0.976,0.44,0.966,1.0,1.0,1.0,1.0,1.0,2.0,56.0,1.0,2.1666667,0.0,2.0,-0.079,129231.0,0.0,0.137,0.0,38900.0,0.475,0.05,0.0,0.0,0.0,0.0,0.0,5.0,-0.038,0.0,0.072,-220.739,2.0,7855.0234,0.921,0.0,5898.93,3890.0,0,0,0.0,0.0,1.282376,3.1304348,0.2743016,0.0,0.0,38900.0,3890.0,0.65944165,12177.392,0,0,0.0,0.0,0.0,5898930000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38900.0,3890.0,0.65944165,12177.392,0,0,0.0,0.0,0.0,5898930000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12417292,12500,0.13305846,59.92,3113.0,20200,1411.4,10.0,4.0,546.0,38.0,-0.702,1.0,1.0,9.0,44,11,0,0.2857,1.0,0.0,0.0,0.0,4.0,0.0,697.977,0.529,1.884,0.507,0.379,0.527,1.0,1.0,1.0,1.0,3.0,12.0,0.0,0.0,0.0,6.0,-0.076,41903.0,0.202,0.105,0.215,5653.977,0.29,0.087,582.514,0.0,727.19,1.0,0.0,2.0,0.003,0.0,0.108,112.374,4.0,7855.0234,0.911,11000.0,1410.698,1292.5876,0,0,22.0,10.0,0.4531635,4.015419,0.13305846,727.19,0.0,5653.977,1292.5876,0.91627526,5190.2812,1,0,38.0,4.0,0.06946983,37.12363,26.0,0.23076923,0.46153846,0.0,1.5,10.0,12.0,7.0,727.19,0.0,5653.977,1292.5876,0.91627526,5190.2812,1,0,38.0,4.0,0.06946983,37.12363,26.0,0.23076923,0.46153846,0.0,1.5,10.0,12.0,7.0,1.0
